              disk0       cpu
    KB/t  tps  MB/s  us sy id
    0.00    0  0.00  10  3 87
    9.43   28  0.26  10  3 87
    9.60   10  0.09   9  3 87
    9.50   32  0.30  10  4 86
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.82   73  0.63  11  4 85
    7.60   20  0.15   9  3 88
   16.00   22  0.34  12  4 84
    8.00   12  0.09   9  3 87
    8.73   22  0.19  11  3 86
   10.31   26  0.26   9  3 88
    0.00    0  0.00  10  3 87
   14.84   38  0.55  12  4 84
    5.55  234  1.27  12  5 83
    9.26   35  0.31  11  4 84
    9.68   38  0.36  12  5 83
   14.00  118  1.61  27 10 63
   16.06   62  0.97  12  4 84
   10.50   40  0.41  14  5 82
    9.10   40  0.35  13  4 83
    8.49   65  0.54  10  3 87
   12.67    6  0.07  12  4 84
   19.00  996 18.48  12  7 80
   10.63   38  0.39  10  4 86
   12.63  277  3.42  18  8 74
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.17  275  2.20  12  5 84
    8.17   48  0.38  10  3 86
    9.99  622  6.07  12  4 83
    9.53  428  3.99  10  6 84
   11.29   17  0.19  12  4 84
   11.43   14  0.16   9  3 89
    7.39   72  0.52   8  3 89
    8.53   30  0.25  12  4 85
    8.00   15  0.12   8  3 89
    8.39   61  0.50  14  5 81
    4.84   38  0.18   9  4 87
    8.00   18  0.14  10  3 87
   22.38 1289 28.17  10  5 85
    6.20   49  0.30  11  3 86
    5.48  177  0.95  12  4 84
   14.11   38  0.52  13  4 83
   13.33    3  0.04   9  3 88
    8.08  773  6.10  16  5 80
   15.18   68  1.00  10  4 86
    9.83   83  0.79  15  6 79
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    6.77  833  5.51  11  5 84
   12.74   27  0.33  11  3 86
    8.50    8  0.07  10  4 86
    8.00   14  0.11   9  2 89
    4.38  324  1.39  12  3 85
   15.70   80  1.22  11  5 84
   16.50   24  0.39  10  3 87
    5.83  205  1.17  10  4 86
   21.37   38  0.79   9  3 88
   11.09  131  1.42  13  5 82
    7.18   34  0.24  12  4 83
   10.67   30  0.31  12  4 83
    9.57  597  5.58  15  5 80
    8.86  457  3.95  11  7 82
   13.41   37  0.48  12  4 84
   10.80   40  0.42  12  4 84
   20.14   29  0.57  14  4 82
    8.59   27  0.23   9  3 88
    0.00    0  0.00   8  3 90
   10.92   63  0.67  11  5 84
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.23   81  0.73   9  3 88
   12.74   27  0.33  10  3 86
   27.54  604 16.25  10  5 86
