              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.84  376  3.25  19  6 74
    8.00    4  0.03  14  3 83
   17.80   90  1.57  17  4 79
   11.17  245  2.67  20 10 70
    9.70  115  1.09  12  5 83
   13.29   31  0.40  27  5 68
   10.77   13  0.14  15  4 81
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   23.33  685 15.61  16  6 79
   12.22   36  0.43  14  4 82
    6.13   15  0.09  10  3 87
    9.20   10  0.09  14  3 83
   23.13   23  0.52  13  5 82
    5.78  168  0.95  16  3 81
   10.00   68  0.66  14  5 80
    8.97  279  2.44  17  7 76
   14.41  223  3.14  28  5 66
   11.00   28  0.30   9  4 87
   13.29   84  1.08   9  5 86
    8.90   31  0.27   8  3 89
    6.67    3  0.02   6  3 92
    7.04  249  1.71  15  4 81
   16.00    1  0.02  12  3 85
    6.82  362  2.41  15  5 80
    5.76   25  0.14   7  5 88
    7.19  290  2.03  10  4 86
    9.38   52  0.47   7  3 90
    9.71   21  0.20  10  4 86
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   11.33   12  0.13   8  4 88
   11.85   26  0.30   7  2 90
    0.00    0  0.00  20  4 76
   12.83  320  4.01  20  5 75
   16.00   12  0.19   8  3 89
    8.29   28  0.23  11  4 85
    6.95   19  0.13   8  5 88
    9.91   23  0.22   5  2 92
    9.60   10  0.09   6  3 91
    8.62   13  0.11   6  3 91
   16.16   25  0.39   8  4 88
    9.33   24  0.22  11  4 85
   21.41   17  0.35  11  5 84
    9.64   22  0.21   9  4 87
   13.06   34  0.43  14  6 81
    5.73  163  0.91  32 10 58
   10.94   53  0.56  14  9 78
    6.16  179  1.08  11  4 85
   18.61   72  1.30  24  5 71
   14.05   88  1.20  10  5 85
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   14.62  164  2.35  13  7 80
    7.73   15  0.11  15  6 79
   13.70  157  2.10  12  6 82
    9.62   52  0.49   8  4 88
   13.79 1277 17.20   6  5 89
    9.06   34  0.30  10  4 86
    6.48  112  0.71  22  6 72
    9.90   21  0.20  20  3 77
   10.67    3  0.03   6  3 91
    8.00   35  0.27   9  3 88
    9.00   12  0.10   8  4 88
   12.33   12  0.14   7  3 90
    8.89    9  0.08   7  3 90
    9.75  349  3.33   7  8 85
    8.00    2  0.02   6  3 92
   20.53  164  3.29  10  3 87
    8.18   22  0.17   9  6 86
    8.00   12  0.09   9  5 87
   13.20   10  0.13   7  3 90
    9.00   40  0.35   7  3 91
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   27.92  382 10.41  13  5 82
    7.78   18  0.14   7  3 90
    9.60   10  0.09   6  4 90
   12.00   15  0.18   7  3 90
   11.83   47  0.54   8  3 89
   14.53   49  0.69  11  4 85
   27.41   61  1.62  11  6 83
    8.49  380  3.15  15  6 79
   13.87   90  1.21   9  5 87
   11.69   51  0.58   8  3 89
   13.83   72  0.97   8  4 88
   39.56   18  0.69   7  3 90
    9.60   10  0.09   6  3 91
    8.36   22  0.18  10  3 88
    8.69   81  0.68   7  3 91
   11.78   72  0.82  11  4 85
    6.20   20  0.12   8  5 86
    9.15  266  2.38   9  4 87
   16.00    2  0.03   8  4 88
   11.30   40  0.44   9  4 88
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   24.41   49  1.16   8  4 88
    8.62   13  0.11   6  3 92
    7.91   89  0.68   8  5 87
   11.22  209  2.29   7  6 88
    8.00    2  0.02   6  3 91
    8.42   19  0.16  10  3 87
  101.00   20  1.97   8  5 87
    9.45   22  0.20   6  4 90
   14.00    6  0.08   7  5 88
    8.89   36  0.31  11  5 85
   26.56   75  1.94  14  9 77
   10.12   32  0.31  10  4 86
   50.22    9  0.44  10  5 86
   21.71   21  0.44  12  4 84
   13.00    4  0.05  10  4 86
    9.33   33  0.30  13  4 82
   12.68   59  0.73  10  6 84
    7.50  313  2.29  10  4 86
    6.19  202  1.22  11  5 84
   12.24   34  0.40   9  4 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   50.42  408 20.11  13  6 81
    9.43   14  0.13  12  4 84
    0.00    0  0.00   9  4 87
   12.10   78  0.92  13  6 81
   11.56    9  0.10  10  3 87
   16.30   40  0.63  12  6 81
   10.36   39  0.39   9  5 85
    8.38   21  0.17   7  3 91
    8.00    7  0.05   9  3 88
    9.67   12  0.11   6  2 91
    8.36   22  0.18   8  4 88
   17.92   25  0.44   6  3 91
    8.68  186  1.58   6  6 88
   13.87  238  3.22   6  4 90
    6.40    5  0.03   7  3 91
    7.78  160  1.22   8  4 88
    4.86   28  0.13  12  6 82
    9.14   14  0.12   5  2 93
   10.40   15  0.15   8  4 88
    9.50   24  0.22   6  5 89
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   19.04  717 13.33   8  5 88
    9.33   12  0.11   7  3 90
   16.00    1  0.02   6  2 92
    6.23  295  1.80   6  3 91
    7.32   94  0.67   8  3 89
   15.54   35  0.53   7  3 90
   17.24   45  0.75  13  7 81
   13.07  351  4.48  15  3 82
    4.00    3  0.01   5  2 92
   11.73   44  0.50   7  3 91
   13.06   83  1.06   7  4 89
    9.26   19  0.17   7  3 90
   24.00    2  0.05   6  3 92
    9.88   34  0.33   6  2 92
    9.33   12  0.11   6  3 91
    8.51  101  0.84   8  3 89
    9.19   57  0.51   7  4 90
    7.22  198  1.40   9  4 87
   10.54   85  0.87   8  3 89
    5.10   69  0.34   6  3 91
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.09   22  0.19   6  3 90
   39.70  269 10.41  18  7 75
   10.68  310  3.23  20  8 72
   12.11   38  0.45  14  3 83
    9.80   20  0.19   5  2 93
   12.89   36  0.45   9  4 87
    7.36  274  1.97   6  4 90
    9.65   17  0.16   7  3 90
    8.00    3  0.02   6  2 92
   10.32   19  0.19   6  3 91
   24.66  618 14.89   6  4 90
   11.86   28  0.32   7  5 88
   16.00    1  0.02   6  3 92
   13.38   29  0.38   7  3 89
   10.18   11  0.11   6  2 92
   11.43   21  0.23  14  4 82
    5.09   11  0.05   6  3 91
   14.58   31  0.44   5  3 92
    8.42   19  0.16   7  3 90
    5.77  202  1.14   6  2 92
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.04   23  0.20   8  3 89
   10.35   17  0.17   5  2 92
    0.00    0  0.00   6  2 92
   83.26   27  2.19   8  4 89
   10.12   17  0.17   6  3 91
   13.40   63  0.82   8  5 87
    5.50   16  0.09   6  4 90
    8.84   19  0.16   7  3 90
    7.33    6  0.04   7  3 90
   12.00   19  0.22   7  3 91
   18.47   55  0.99   6  3 91
    8.62   13  0.11   6  2 92
   17.11  933 15.59   9 10 81
    9.85   26  0.25   6  3 91
   13.70   61  0.81  23  6 70
    8.47  134  1.11   8  4 88
    6.87  117  0.78  11  6 83
   57.35  254 14.22  30 11 59
    6.86    7  0.05  24  6 70
    9.38   26  0.24  12  5 83
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   20.11  699 13.72   9  5 86
   10.06   33  0.32   9  4 86
   12.90  261  3.28  17 14 69
    9.91  128  1.23  17  8 75
    4.95  221  1.07   9  5 86
   11.20   30  0.33  12  6 83
   13.69  215  2.88  11  9 80
   10.97  135  1.45   9  4 86
   14.64  996 14.24  20 10 70
   13.33 2564 33.38  27 17 55
   13.74 3545 47.58  18 15 67
    6.13  864  5.17  21  9 70
   42.61  728 30.30  25 10 64
   70.26  551 37.82  38  8 54
   11.54 1253 14.11  33  6 60
    5.59 2429 13.26  26  9 65
   49.61  217 10.51  21  6 73
   36.30  104  3.70  19  4 77
   10.22  356  3.56  21  4 75
   32.12   69  2.15  19  4 77
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   28.58  124  3.47  18  4 78
   48.22   37  1.73  17  3 80
   18.97  509  9.42  18  9 73
    8.25   16  0.13  17  3 80
    5.52  785  4.23  13  4 83
   10.55   33  0.34   8  4 89
    4.76  115  0.54   6  3 91
   16.50   56  0.90   7  3 90
    7.86   28  0.21   6  3 91
   16.67  704 11.47   8  5 87
    8.80  249  2.14   8  3 89
    7.06  501  3.45   9  5 85
   14.09   46  0.63   9  4 88
    7.76   17  0.13   8  3 88
   11.88   33  0.38   7  3 90
    9.58  141  1.32   9  4 87
    0.00    0  0.00   6  3 91
    8.22   37  0.30   6  3 92
    7.57  128  0.95  18  5 77
   11.06   47  0.51   8  4 88
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   12.07  160  1.89   6  3 91
   10.07   29  0.28   9  3 88
   11.38   13  0.14   7  3 90
    9.47   19  0.17   7  3 90
   13.61  133  1.77   8  4 88
   12.64  106  1.30  12  6 82
   21.60   15  0.31   5  2 92
    8.35   23  0.19   8  4 89
    8.00   11  0.09   8  3 89
    8.00   24  0.19   6  3 91
    9.60    5  0.05   7  3 90
    9.58   38  0.35   5  2 92
    8.75  363  3.10   6  8 86
   12.44   18  0.22   5  2 92
    5.01  354  1.73   7  2 91
    5.37  445  2.33   8  5 88
    5.39   49  0.26   6  3 92
    9.14   14  0.12   6  3 91
    7.00   12  0.08   8  3 88
   18.35  714 12.80   9  6 84
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   15.12   59  0.87   9  4 87
    9.88   17  0.16  11  3 86
    7.51 1091  8.00  14  5 81
   12.27  163  1.96  20  6 74
   14.96  130  1.90  13  5 82
   13.18  182  2.35  18  9 74
   10.00    2  0.02   9  4 87
   17.22   85  1.42  12  5 83
   12.33   60  0.72  14  5 81
    9.02   47  0.41  12  4 84
   11.20    5  0.05   9  4 87
    5.76  247  1.39   8  3 89
    8.00   15  0.12   9  3 88
   12.35   91  1.09  10  4 86
    6.21  167  1.01  12  4 85
    6.09   46  0.27  10  5 85
    0.00    0  0.00   8  3 90
    7.59  192  1.42   9  3 88
    5.60    5  0.03  12  3 85
   25.39   66  1.63  11  4 84
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   20.46   52  1.03   8  4 88
   11.30   23  0.25   8  3 89
   10.74  303  3.18   9  7 84
   13.41   17  0.22  10  3 87
    8.89   27  0.23  23  5 72
    9.33   60  0.54  11  5 84
    0.00    0  0.00   8  3 89
   15.43   21  0.32  10  3 87
   10.34  100  1.01   9  3 88
   17.59  692 11.89   9  8 83
   23.48  617 14.15   8  5 88
    6.03   59  0.35   9  5 86
    8.61  924  7.77  13  9 77
    8.23  693  5.57  16  8 75
    8.53   15  0.12  20  4 77
   13.04   46  0.58  23  6 72
   38.67    3  0.11   7  3 89
   14.44  100  1.40  13  8 79
   23.89   36  0.84  11  7 82
    9.73   51  0.48  10  3 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   14.58   62  0.88  10  4 86
    6.20  166  1.01   9  3 88
    6.76   45  0.30  10  3 87
   11.18   39  0.42   9  3 88
   16.43  788 12.65  11  7 82
    8.25   65  0.52  11  5 83
    0.00    0  0.00   8  4 88
   15.64   44  0.67   9  3 88
    4.97  123  0.60  10  4 85
    7.80   20  0.15   9  3 88
   25.36   44  1.09   8  4 88
    6.90   86  0.58   8  4 88
   11.14  153  1.67   9  5 86
    9.25   48  0.43   8  3 89
    7.97  146  1.14  11  6 83
    8.31  127  1.03  10  5 85
    0.00    0  0.00   9  3 88
    9.05   19  0.17   8  3 90
    8.00    3  0.02   8  3 89
   10.25  228  2.28   9  4 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   11.20    5  0.05   9  3 87
   10.89   36  0.38   8  4 88
    4.00    3  0.01   8  3 89
    7.87   31  0.24   9  3 88
    9.16   45  0.40  10  4 86
   10.89   96  1.03  17  8 76
   17.05  166  2.77   8  4 88
    8.92   26  0.23  11  3 86
    8.50   16  0.13   8  3 89
    8.95   38  0.33   9  3 87
   27.32   47  1.25  10  3 86
    9.09   22  0.19   7  3 90
    5.49  222  1.19  12  4 84
   11.69   39  0.44   8  3 89
    7.11   18  0.12  13  5 82
    9.51   74  0.68  16  7 77
   32.38   21  0.66   9  4 87
    7.87  189  1.45  11  4 85
    5.90   21  0.12  13  4 83
    8.67   18  0.15  10  3 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   19.06  395  7.35  12  6 81
   28.04  498 13.63  14  8 78
    8.00    2  0.02   9  4 87
    6.27   81  0.49   9  4 87
   10.67   21  0.22  13  4 82
   37.21   63  2.28  12  6 83
   16.00    1  0.02   7  3 90
    8.53   15  0.12   9  3 88
    5.80  297  1.68   8  4 88
   14.19   53  0.73  10  4 87
   17.82   44  0.76   7  3 91
   18.10  517  9.13  10  4 86
    5.60    5  0.03   9  4 88
    8.89   36  0.31  10  4 87
    8.73   11  0.09  13  6 82
   15.80   61  0.94  14  7 79
   11.54   35  0.39  12  6 82
    5.91  661  3.81  14  6 80
   10.42  458  4.66  12  7 81
   10.63 2381 24.72  29 11 60
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    4.53   30  0.13  10  4 86
   21.73  699 14.84  12  6 82
    6.30  347  2.14  11  4 85
    6.92   85  0.57  16  5 80
    7.57  267  1.97  15  8 77
    9.05  190  1.68  18  8 74
   12.73   77  0.95  10  4 86
   17.22  648 10.90  18  8 75
   11.07  124  1.34  17  6 77
    6.08  141  0.84  17  6 77
    5.68  284  1.58   9  3 88
   21.34  610 12.71  11 10 80
    6.67    9  0.06   8  3 89
   16.31   52  0.83  17  6 77
    7.91  141  1.09  13  5 82
    9.36  284  2.60  14  8 78
   10.55   22  0.23   5  2 92
    9.92  166  1.61  13  6 82
   12.00    4  0.05   9  4 88
   18.59  689 12.50  11  5 83
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.12   25  0.22  11  3 85
   23.36   56  1.27   9  4 88
   41.33   18  0.72   8  3 89
   15.19   74  1.09  13  4 84
   10.26   39  0.39  10  4 86
   12.11   72  0.85  16  9 75
   16.41  221  3.54   8  4 88
    8.79  298  2.56   7  3 90
    6.95   38  0.26   8  3 89
   12.51  197  2.41  13  4 84
    7.43   14  0.10   6  3 91
   29.39   69  1.97   7  3 90
    6.03  186  1.10   6  3 92
   11.59   29  0.33   7  2 91
   11.11   27  0.29   7  3 90
    6.29   21  0.13   9  5 86
    6.97   39  0.26   5  2 93
    7.90  203  1.57  10  3 87
   15.79   56  0.86   8  3 89
    5.17  109  0.55  10  3 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   38.54  257  9.66  19  6 75
   17.98 1065 18.70  21  9 70
   44.67    6  0.26  17  5 79
    9.74   23  0.22   7  2 91
    7.17   29  0.20   5  4 90
   31.32   76  2.31   9  5 86
    8.86   65  0.56  10  5 85
    9.14   14  0.12   6  4 90
    8.31   13  0.10   6  3 91
   14.17   48  0.66   7  3 90
    8.89   18  0.16   6  3 92
   39.18  296 11.31   7  5 88
    7.38   13  0.09   7  3 91
   10.20   40  0.40   7  3 90
    8.50   32  0.26   6  2 92
    8.89   45  0.39   7  4 89
   10.00   36  0.35   7  3 89
    8.00   27  0.21   9  3 88
    9.60   20  0.19   7  3 89
   12.00    8  0.09   5  2 93
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.00   14  0.11   6  2 92
    7.56    9  0.07   6  3 91
   11.59  369  4.18  12  4 85
    9.17 2522 22.59   8  9 83
   12.51   55  0.67   7  4 88
    9.50   24  0.22   6  4 90
    9.88   51  0.49   6  2 91
    6.91   22  0.15   6  3 91
    9.44   36  0.33   8  3 89
    8.00    2  0.02   5  2 92
    8.62   13  0.11   6  2 92
   11.21  343  3.75   6  8 86
   14.25   16  0.22   5  2 93
    9.14   14  0.12   7  3 90
    5.15  540  2.72  10  4 86
    7.50  105  0.77   8  4 87
    8.00   16  0.12   6  2 92
    9.05   42  0.37   8  7 85
    7.30   46  0.33   8  4 88
   23.92  562 13.12   6  4 91
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    5.84  136  0.78   5  3 93
   16.50   56  0.90   6  2 92
   13.75   32  0.43   7  3 90
    9.26   19  0.17   8  3 88
   11.28   39  0.43   6  3 91
   10.80   97  1.02  11  7 82
   16.05   85  1.33   7  3 90
   14.50   48  0.68   5  2 93
   10.18   33  0.33   8  3 89
   13.82   11  0.15   7  2 91
   12.86   28  0.35   6  3 91
    8.32  150  1.22   6  3 92
    7.45  130  0.95   6  3 91
   11.10   40  0.43   7  3 90
   18.09   23  0.40   7  3 90
   10.06   31  0.30   7  4 89
    8.00   14  0.11   7  2 91
    7.68  196  1.47   7  3 90
    7.21  145  1.02   7  3 90
  312.00    6  1.82   6  3 91
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.14   14  0.12   7  2 91
   21.01  296  6.08   7  6 87
   33.66   99  3.24  16  3 81
   34.41   83  2.78  13  3 84
   12.44   18  0.22   6  3 91
    6.83   24  0.16   6  4 90
    8.00   14  0.11   6  2 92
    9.25   32  0.29   5  2 92
    5.25  166  0.85   9  4 88
   12.66 2353 29.09   7  6 87
    6.72  421  2.77   8  4 88
   23.41  406  9.29  12  6 82
   17.91  248  4.33   9  4 87
    7.71   14  0.10   7  3 91
    9.00   16  0.14   5  2 93
    7.11   45  0.31   7  5 88
   13.33  287  3.74   8  3 88
    6.20   71  0.43   8  3 89
    8.38   21  0.17   7  3 90
    4.00   10  0.04   7  3 90
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.00   18  0.14   6  3 91
    5.85   13  0.07   9  3 88
    8.80   15  0.13   6  2 92
   10.78   49  0.51   9  3 88
    5.82  184  1.05   4  2 94
    6.12   17  0.10   7  4 89
    8.89   18  0.16   7  3 90
    8.57   14  0.12   6  3 92
   11.26   27  0.30   8  3 90
    0.00    0  0.00   5  2 93
    8.00   14  0.11   4  2 93
    9.03  337  2.97   7  8 85
   12.36   11  0.13  10  4 86
    6.56  329  2.11  14  3 82
    6.27  288  1.76   6  3 91
    8.50   48  0.40   8  5 88
   11.41   74  0.82  11  5 85
   25.19   37  0.91   7  3 91
   11.56   45  0.51   8  3 89
    0.00    0  0.00   5  2 92
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.39   23  0.21   6  2 92
   17.30   46  0.77   6  3 91
   10.00   16  0.16   6  3 91
   10.97   31  0.33   8  3 89
    8.46   26  0.21   8  3 89
   12.68  265  3.28   8  6 87
    7.16   38  0.26   6  2 91
   50.00    2  0.10   6  3 91
    8.74  230  1.96   8  3 89
    4.00   11  0.04   6  2 92
   15.06   94  1.38   9  3 89
   10.00    4  0.04   6  3 91
    8.62   13  0.11   6  3 91
   14.80   30  0.43   8  4 88
   11.22   36  0.39   9  3 88
    6.00   12  0.07   7  4 88
    9.40   40  0.37   8  3 88
    6.79  382  2.54   7  4 90
   57.13   39  2.17   9  3 89
    0.00    0  0.00   5  2 93
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.67   79  0.74   8  2 90
   11.23  187  2.05   5  7 88
    8.73   11  0.09   6  2 92
    8.62   13  0.11   7  3 90
    8.33   12  0.10   5  2 93
   10.24   25  0.25   6  4 90
    8.77   31  0.26   7  2 91
   10.78   23  0.24   5  2 93
   16.60   47  0.76   8  4 88
   18.80   20  0.37   8  3 88
    8.62   13  0.11   7  3 90
   10.00    4  0.04   8  3 89
    8.62   13  0.11   9  3 88
   11.09   22  0.24   9  4 87
    7.20   15  0.11  11  4 86
   22.49   85  1.86  11  6 83
   30.00  121  3.55  25 10 65
    7.50   32  0.23  14  3 83
    9.30   37  0.33   9  3 88
    0.00    0  0.00   9  4 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.14   14  0.12   7  3 90
   16.96   50  0.82  10  4 86
    8.53   15  0.12   8  3 88
   23.18  610 13.81  15  6 79
    9.56   41  0.38  12  5 82
    8.00  302  2.36  12  6 82
   11.53   34  0.38  12  4 84
    6.62  142  0.92  10  4 86
   10.48   42  0.43   9  3 88
    7.60   10  0.07   9  3 88
    6.78   85  0.56   9  5 86
   12.69  172  2.14   9  6 85
    8.00   14  0.11   8  3 89
    9.53  106  0.99   8  3 89
    7.76   82  0.62   8  3 89
    5.71   14  0.08  11  5 84
    9.25   16  0.14   9  3 88
    7.52   25  0.18   9  3 89
   12.27   45  0.54  10  4 87
    5.85  174  1.00   9  3 87
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   14.75   64  0.92   9  3 87
   15.66   83  1.27  10  4 87
   10.21   29  0.29   9  3 88
    7.54   26  0.19  10  4 87
   10.33   72  0.72  10  4 85
   39.06   68  2.58  11  5 83
   13.44   25  0.33   8  3 89
    8.95   21  0.18   8  3 89
   10.98   55  0.59   9  3 88
   12.00    4  0.05   8  3 89
   16.08   51  0.80  12  4 84
    5.04   23  0.11   9  3 87
    8.62   13  0.11   8  3 89
    6.09  232  1.38  11  4 85
    8.77   26  0.22  10  4 87
    9.71   35  0.33   9  4 87
    8.36   22  0.18  10  3 87
    8.98  313  2.74  11  3 86
   10.29   28  0.28   9  4 87
    6.94   64  0.43   9  3 88
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   11.36  306  3.40  13  7 80
   28.78  569 15.99  10  4 85
   11.52   25  0.28   7  3 90
    9.41   17  0.16   9  4 87
    8.65   37  0.31   8  4 88
    4.33   36  0.15  10  4 87
    8.44   27  0.22  10  3 87
   12.33   12  0.14   8  3 89
    6.03  153  0.90  11  4 85
    8.62   13  0.11   8  3 89
    9.65   17  0.16   8  3 89
   20.67   66  1.33   8  3 88
    9.76   25  0.24  10  4 87
    4.00    8  0.03  10  3 86
    9.95   43  0.42   9  4 87
    6.57   67  0.43  10  4 85
    8.25   16  0.13  10  3 87
    7.24   21  0.15  10  4 87
   12.84   19  0.24  10  3 87
   12.00    8  0.09   8  3 89
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    5.72  428  2.39   9  3 88
   10.00    4  0.04   8  3 89
    9.81   62  0.59   9  3 88
   21.39   23  0.48   9  4 87
   12.80   25  0.31   7  4 89
    5.93  163  0.94   8  4 88
   12.41   29  0.35   9  3 88
    6.26  140  0.85  10  3 87
   10.95   19  0.20   9  4 87
    8.00   12  0.09   7  3 90
   10.87  193  2.05  10  6 85
   39.36   25  0.96   7  3 90
    9.45   22  0.20   8  3 89
    8.49  114  0.94  11  6 83
    9.20   96  0.87  10  4 86
    5.14   14  0.07   7  3 90
    9.40   20  0.18   9  3 88
   16.00    1  0.02   7  3 91
   11.80   60  0.69   9  4 87
    9.60   10  0.09   7  3 90
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.38   26  0.24   9  4 88
   24.71   45  1.08   8  3 89
   12.71   28  0.35   9  3 88
   64.00    1  0.06   7  3 90
   14.35   46  0.64  12  6 82
   14.11   76  1.04   6  4 90
   14.00   36  0.49   8  2 90
    8.80   10  0.09   7  3 91
   14.88   68  0.98   8  7 85
    8.00   14  0.11   7  3 90
    8.36   33  0.27   8  3 89
   17.26   54  0.91   8  4 88
    8.28   29  0.23   9  2 88
    4.00   11  0.04   7  3 90
   15.52   33  0.50   8  5 87
    8.88   32  0.28   6  3 91
    7.51   57  0.42  11  3 85
    6.66  362  2.35  11  4 85
    8.89   27  0.23  12  5 82
   24.75   64  1.54  13  8 79
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   12.10  332  3.93  13 10 76
   33.68   31  1.02  13  5 82
   13.59  185  2.46  12  7 81
   10.86   28  0.30  15  6 79
    7.33   54  0.39  13  6 81
    5.44   25  0.13   9  5 86
   12.35   23  0.28  10  3 87
    4.92   13  0.06  13  4 83
   19.86  658 12.76  14  8 79
    8.29  205  1.66   9  4 87
   18.18   33  0.58   9  4 87
   38.43   56  2.09   9  4 87
   11.48   31  0.35  10  4 86
   22.67    9  0.20  11  5 84
   13.00   52  0.66   9  5 86
   41.08   63  2.52  10  5 85
   17.14   49  0.82  12  9 79
    8.50    8  0.07  15  4 80
    7.77   53  0.40  10  4 87
  160.00    2  0.31  11  4 85
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    9.68   50  0.47  13  7 81
   10.76  102  1.08  11  5 84
    6.29   70  0.43  15  6 79
   18.12  664 11.74  10  6 84
   14.18  738 10.22  16  8 76
   23.89   70  1.62  11  6 83
    7.32  152  1.09  18  8 73
   17.33   69  1.16   9  4 87
    5.75  310  1.74  10  4 86
    4.00   13  0.05  10  5 85
   11.04  369  3.97  14  9 76
   12.34  106  1.27  10  6 84
    9.52   42  0.39   9  4 87
    4.83  704  3.32   7  4 90
    8.55  167  1.40   8  5 86
    9.10  142  1.26  10  5 84
    7.00   36  0.24  11  3 86
    7.85   27  0.21   8  4 88
    8.23   69  0.55   8  3 89
    4.73   11  0.05   8  3 89
              disk0       cpu
    KB/t  tps  MB/s  us sy id
    8.00   71  0.55  13  3 84
    5.50   16  0.09  12  5 84
    9.01   71  0.62  13  5 82
   13.45  915 12.02   9  5 87
   12.50 2241 27.35  21 11 68
   13.49  338  4.45   8  4 88
    6.96   92  0.62  12  5 83
   17.81  115  1.99  11  4 85
    4.80  149  0.70   9  4 87
    8.48   25  0.21  10  3 87
   14.40   60  0.84   8  3 88
   24.37   54  1.28  11  4 85
   25.09   33  0.80   8  4 88
   36.18   22  0.77   9  4 87
   25.06   64  1.56   9  5 86
   10.25   16  0.16   7  5 88
    8.07  241  1.90  10  5 85
    6.65  251  1.63  11  4 85
    6.25  118  0.72   9  4 87
   21.17   58  1.19   8  3 89
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   15.99  416  6.50  11  8 82
   10.00    4  0.04  13  3 83
    9.60   25  0.23   9  3 88
   12.00    2  0.02   8  4 89
    8.74   38  0.32   9  9 82
    4.30   27  0.11   9  4 88
    9.85   13  0.12   9  3 88
    5.29  240  1.24   8  3 88
   12.86   37  0.46   9  4 88
    7.02   61  0.42   9  5 86
    6.96   23  0.16  10  3 87
    4.77   31  0.14   9  4 87
   12.61   33  0.40   9  3 88
    0.00    0  0.00   9  3 88
    6.97   31  0.21   9  5 86
    6.87  141  0.95   7  4 89
   12.00   16  0.19   9  3 88
   21.82   11  0.23   7  3 90
   11.17   24  0.26   8  3 89
   10.18   11  0.11   7  3 89
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   10.17   35  0.35   7  3 90
    4.94   94  0.45   8  5 87
    9.23   26  0.23   8  3 88
    0.00    0  0.00   6  3 91
   10.69   55  0.57   8  5 87
    4.00    3  0.01   6  3 91
    8.53   15  0.12   8  3 89
    9.71    7  0.07   8  3 89
    5.77  293  1.65   8  4 89
   12.47   17  0.21   5  2 93
   12.19  232  2.76  10  8 82
   10.00    4  0.04   6  3 91
    7.05  134  0.93   8  3 89
    7.71   55  0.41   6  3 91
    7.83   24  0.18  13  6 81
   16.00    1  0.02  11  6 83
    8.88  326  2.83  17  8 75
    7.58  285  2.11  21  5 74
   17.57 1300 22.30  24  8 68
   13.11  929 11.90  25 12 63
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   11.62 2905 32.95  20  9 71
   18.78 1245 22.83  17 12 71
    4.80 3586 16.82  21 13 65
    8.27 2380 19.22  15 14 71
    8.45  372  3.07  18 10 72
   20.04   90  1.75  15  6 79
    9.35  450  4.11  17  7 75
   12.00   30  0.35  15  6 79
   14.69   55  0.79  15  6 79
    9.47  160  1.48  18  6 76
   15.33   66  0.98  16  6 78
    8.62   26  0.22  16  7 77
    7.71   42  0.31  15  6 79
   26.67    9  0.23  14  6 80
    7.60   30  0.22  16  8 76
   16.00    1  0.02  14  6 80
  270.57   42 11.05  16  7 77
    7.50  231  1.69  14  6 79
    7.62  135  1.01  15  7 79
   13.06  105  1.34  14  8 78
              disk0       cpu
    KB/t  tps  MB/s  us sy id
   17.30  313  5.28  16 10 74
    8.55   65  0.54  15  7 78
    9.04   23  0.20  17  7 76
   12.47   85  1.03  15  7 79
   30.96   81  2.44  20 10 70
   12.68  130  1.60  10  5 85
   17.46  205  3.49  17  6 77
   14.47  650  9.19  37 13 50
   25.57  722 18.03  33  9 59
    6.75   16  0.10  34  7 59
   19.32   53  1.00  17  8 75
